City Name,Latitude,Longitude,Elevation (m),Temperature (°C),Land Cover,Population Density (people/km²),Energy Consumption (kWh),Air Quality Index (AQI),Urban Greenness Ratio (%),Health Impact (Mortality Rate/100k),Wind Speed (km/h),Humidity (%),Annual Rainfall (mm),GDP per Capita (USD)
City_11,-86.29479102675556,40.829470536884344,995.4424881882101,30.324643467902337,Industrial,7081,41342.162061215175,162,16.857424407637158,34.45438268741148,0.6041354684786948,72.20697589441508,1270.1161114379233,47563.68195695894
City_12,84.58377338915898,-29.432506935377205,4444.506035984911,27.95307690566236,Green Space,6817,39318.7514117154,121,39.03495422771425,41.16366063400151,4.613511165396486,47.431078187948316,2385.9655681422714,27248.759552345462
City_13,59.839675344075914,155.78225400744475,4248.267028589759,33.88809239887337,Industrial,1026,27646.48066544563,50,35.275438019493194,27.809534631500583,26.58513882167979,43.398651595578656,1720.7521195633842,20315.33423539549
City_14,-51.77896007791029,131.78300022014702,177.42065115827654,10.45581456690904,Urban,7248,5893.47423567273,138,17.20393930065998,38.97583507120317,13.755556865610462,57.449841054286296,2169.947571365925,42561.95329909188
City_15,-57.27150590272189,-163.72127876177183,3175.088276320598,14.894449642088652,Urban,905,34714.17774796468,76,41.199924276449124,0.8100198669733605,16.937719168003905,66.33229758024248,1920.7030014246645,25156.152812446362
City_16,-56.98718822638191,-170.50788918098928,4163.617428370496,10.189071874453553,Industrial,8486,12852.555294153151,113,23.682020893038583,40.91902123897676,19.89081611169442,57.508672997341655,725.0062610532635,24123.22301766163
City_17,-35.23639626728321,-44.473187923902145,812.5890530730009,26.186867853865074,Water,4240,45642.3664356018,112,34.39171592720062,2.006942954268326,20.37199813486912,51.07016527805234,1971.8408127478976,25025.311981081588
City_18,4.456157693802808,111.79919908145985,2555.7535374868326,32.450763723749674,Urban,2346,42075.00261773954,64,14.113616213853094,44.49566881814312,27.952212099495245,62.32684735561763,1050.197763118249,42492.46509161752
City_19,-12.249896644419167,175.41940655337999,4119.697339146188,16.087057414407482,Urban,1978,35759.765387282154,98,32.979202860681156,49.59813736193217,29.908482522350088,53.880093416487995,1778.2156939894128,41765.13554271455
City_20,-37.57875476435245,-125.84991920272985,152.7569036360948,33.175863619907666,Water,1271,47493.45183572539,158,25.323173402141016,14.70337310883889,21.604723827928208,77.31470760506532,1181.9239472859772,20772.47962957035
City_21,20.133521050028307,33.88705752676864,3138.3912026107796,11.506684757239022,Water,6025,2539.6692540523736,169,51.119060559267716,10.515927814289682,8.616636276154525,76.90580558414288,2495.3445265293185,17331.693133655725
City_22,-64.89110508263246,-42.87929161283225,1338.0705331764784,33.36090067013786,Green Space,9270,37073.82082797734,56,12.848936349868413,38.26816819290204,26.392572068830308,60.09487279888382,1027.1029589935556,25104.473177917334
City_23,-37.41396326366073,169.16918321325716,4159.782879194387,18.790567180990863,Water,693,17181.89618748386,85,30.930363745916498,12.651317046012661,1.4766274362228482,53.11535976073034,1058.2609415485394,29065.852977118342
City_24,-24.0548682071355,123.16281232885513,4369.762103244155,12.535520711230413,Industrial,2507,45397.228398631894,52,32.9215712065719,43.278119158610174,6.932425586234886,69.48529655826556,2361.3445111247966,12678.52332077185
City_25,-7.907402840933528,121.79833369600965,4249.199201010452,22.146793979658142,Industrial,1685,14067.084636436903,182,46.250303814955934,5.142129607873835,26.921571523911446,41.468517739322664,549.2888092726454,39903.79915106394
City_26,51.33167305074244,-11.27046247381071,2133.963974958587,16.4194141930127,Green Space,2894,36517.968466435836,50,38.71437875451055,6.297759818967913,7.6857454331806485,58.990760241746045,1893.3779757463938,24837.655520888722
City_27,-54.058719211495244,-30.66497915844053,3879.1919294519103,17.12182254904807,Urban,9802,44004.70396288829,90,43.360616859709054,48.957577755030776,6.619531788652454,53.45293577081334,1950.6527814717563,17368.23187257802
City_28,2.562198914450093,-81.57345410494575,3800.472293407817,17.682249123157163,Urban,4505,3041.1841007514386,92,48.8524642825878,33.69194491350023,4.143758794207417,76.82143540410219,2172.757154820799,6234.22865523554
City_29,16.63462239516764,-159.70482120566624,1435.9521295946504,30.075647445816585,Water,7929,20484.73140000977,151,53.11014868290944,42.34436122144764,25.773352729407495,40.4801210909073,2448.878621276951,12703.41285977674
City_30,-81.63892571040041,131.30005545181916,3730.119633678048,23.47903191688136,Industrial,2761,38353.142569075,81,25.693774836123524,16.2164688675759,15.001747775732602,62.11259502873396,2451.203838313305,47514.7774160432
City_31,19.358073342258905,112.64436328682791,166.53435621971678,17.782692478900092,Urban,4236,23291.02558587177,117,36.90113526819515,33.82418747603022,20.246796091624645,69.62654324266504,630.5535151329278,15949.884654156804
City_32,-59.30565773628753,179.898362383007,2683.214453169239,25.25834458277296,Green Space,7216,14095.37885988617,182,52.005403921959996,29.71209136542986,7.17199152225089,59.40071950096165,2143.678645505805,9274.10517898473
City_33,-78.29071326264969,178.78926134660594,1035.0397677946637,27.90376685557984,Green Space,5375,11770.46209233631,84,59.472556548252825,30.15750600614735,22.741212630336495,43.41612120650887,1792.6198673147626,23572.966791094666
City_34,80.79939670559997,19.955414016945895,542.5509859977547,16.815600018338344,Industrial,9421,7444.3950789025175,75,54.47596555218816,34.126622976886075,22.800166348862955,78.8984556011161,1794.6842687461824,16047.299424652185
City_35,83.81376595342067,96.83546946498376,346.2894073314412,20.33872753813379,Green Space,4878,42999.34843295783,61,28.57336313121884,28.76795865645493,9.377940747249005,60.72041725504391,756.6998532293896,2722.8032632885133
City_36,55.51152266096301,160.1156627576741,3133.299491451629,13.04715233342369,Green Space,8315,29192.414759326242,84,19.758325860932523,21.453118465133297,12.320478990308485,64.56744977276045,1800.3743328913067,16834.115646691447
City_37,-35.16952154879328,125.87306064386814,1529.4373369562977,14.528733738367007,Industrial,3951,4742.862304581344,125,34.469626870329435,13.796134719027343,6.290708322906026,49.46439130830029,2464.9651612024954,27661.32257303396
City_38,-72.4190194788509,-90.95468337244884,3261.4504718794265,27.02794634912457,Water,8116,19746.435854961135,162,47.08207259180211,38.4290665456601,29.296830699687128,59.339923404272156,2323.6371390788936,28033.90622897838
City_39,33.161944772188235,-17.80411128836633,294.10353359524066,14.535958692390674,Water,3300,19018.948889450385,65,34.62845353766488,11.31362150015931,19.368077311752348,57.165979678332874,1378.261321609701,18471.387137667545
City_40,-10.772551126871761,-133.5026105454618,1418.8065202377466,23.129084591676502,Green Space,8833,9905.220344763686,139,34.15904316568343,34.61771530772071,28.036316421465465,42.99583368007935,579.8959465721887,22917.83505637743
City_41,-68.03311772793981,163.45836981314005,2427.7108156890176,27.726156543060817,Water,5910,22339.873648137345,135,51.91152105409003,11.666641132466331,9.101566308873995,44.24641414189869,1224.5869800004098,48310.377993503556
City_42,-0.8681561799713648,38.222868402316806,3558.254241775336,12.671923077368596,Water,1955,17272.868904263683,87,28.070188953359317,31.266508497722693,23.456727389906693,73.49890078475099,2152.7806232011103,19490.07538428527
City_43,-83.81006619926069,-97.68859001875342,1434.3862631943146,24.182805490722586,Green Space,7392,17748.381569116944,68,52.98973374058228,37.35391335645144,22.97575931654226,49.592798088263606,1902.9982029303321,13653.113849739166
City_44,73.67767237418076,61.81224638610843,2816.5111939665408,16.414069592534094,Water,6308,37212.301331609975,109,30.340240047586178,10.93569444532696,20.749669555996245,47.798330859945224,1418.6873111879127,12929.885159271245
City_45,-43.41960331199695,42.5261665648425,3986.899867062842,34.0731718809395,Green Space,7296,11939.905889754618,126,26.41165528391697,2.997165043065414,28.969169258004012,60.196458050005575,610.2030703176622,23430.466022502573
City_46,29.254011183716756,-51.06142150817743,2771.3843468203704,22.08864116799812,Urban,5296,32451.137983912417,142,32.69949555998495,6.548687149708704,11.806660083189467,70.74988525450053,1353.7894556466053,38216.48728713026
City_47,-33.89200630390603,-139.11926680813355,1048.317636391352,30.149813744378953,Industrial,5593,28961.83157016581,90,48.12234793374342,30.299848363551273,3.9215197076927186,42.47786074315952,1438.049879435767,11093.421025235188
City_48,3.612243812005943,61.76635041340785,109.8035170044211,23.755663553906544,Industrial,1825,28836.533104555496,166,16.300101393199714,42.47232031128678,20.15126577732182,63.072316785530234,2357.111065788272,35755.510229897634
City_49,8.407850281790331,7.310772325365576,3915.4449325541846,11.08531332137048,Water,5476,33487.35996094702,35,19.820960793600868,2.2498410617712183,21.879294014316184,44.76841771362294,1782.172207164319,2036.341344121398
City_50,-56.72619800540513,98.03462102483013,95.71234882674212,25.828784389850558,Water,9905,27870.719773587043,138,57.5722412831546,36.70756295208231,17.25181720376444,41.45844203302474,1123.3058333092977,21527.715921213356
City_51,84.52523299762055,7.258860400317616,3936.157527078897,33.78508355516642,Water,1659,44083.500627472844,64,18.774581369067867,17.065932297502606,6.204536794001888,42.1097580864887,1550.6365289014427,39017.38819493655
City_52,49.52390820500062,126.78534011467445,2380.217103122454,25.040295503658278,Industrial,5150,34103.42450556273,68,38.38636589655273,23.926418495976126,15.133678250080662,73.36656432833766,632.1106156443202,17597.91483294714
City_53,79.10980948155404,18.68646195881479,4225.804643308033,30.479721485669756,Urban,5487,27801.199317198018,179,38.96572333309689,46.44297749227828,9.365692097073882,44.718899345122466,2445.1364712994737,28623.117970824573
City_54,71.0689230769768,21.937669752739055,3594.5245609814942,32.1051615837102,Urban,5197,41658.3928940946,198,34.48122310251224,16.598575236792275,12.823995845000672,41.806054576491675,1220.119803861452,11043.982408469628
City_55,17.62199618599533,135.59529695700422,4490.703497400019,15.701994298723312,Industrial,840,30701.18168174051,147,42.23726242884093,23.2668466969743,19.356557275339917,57.51599548571649,1455.7347098262717,37357.77416518244
City_56,75.93736230416104,-34.74616816353708,1578.2031695326957,15.301120997705667,Urban,4328,15266.068141473772,34,21.49133628988092,0.6841207380340553,22.356442280725037,73.75973887768099,1210.5679484738453,3561.6760601692213
City_57,-74.0713496306545,-131.75451775776935,3452.347300190071,25.274524721274794,Industrial,2468,11147.65099065199,199,37.633113388837415,4.0799360002419185,6.9667407270402935,50.496335059572075,1865.0234602324003,42774.58959889952
City_58,-54.72308476455387,-169.63823652719796,1808.6891112415897,20.27571174516762,Urban,1203,8464.06149747126,116,28.608662762344856,12.929579556739201,12.1597608194086,56.868504701036656,1824.4643166591861,10711.622934661738
City_59,-81.85908799610314,91.84941204250282,2159.44029136759,30.99653257166801,Green Space,5982,45073.30541475898,105,43.08336298145945,1.3926120410537202,8.074847129748875,41.59690130255005,1930.6446210582712,43845.50355370821
City_60,-31.440540462612418,43.31143848724727,2823.7745844826654,32.50057808495028,Green Space,6876,35796.636158105226,187,17.061177168657473,31.56876630241255,5.9589484158560735,57.96314056539504,1036.2864592238416,18273.93282372535
City_61,-20.038087855893238,73.46871651572047,3931.5470138385244,18.83553448256795,Industrial,2300,46931.543470051714,86,38.54387084197381,21.319917840081125,23.501616599875153,63.10452322548535,1131.336962328132,36411.495149249844
City_62,-41.15717428069873,-103.33290185679213,4428.375611396828,15.921763974362051,Urban,5963,30561.29848003221,156,19.263517769166185,27.407260136401103,27.277580833109774,62.83628215008579,750.5024621924159,16642.039591523237
City_63,59.17275164734727,-130.90626878876287,3457.2303623903317,29.513137881096547,Water,5412,24196.643193250715,58,23.93215315575182,8.732359294816478,11.106965570537302,53.29706768697461,1811.0199436922253,45389.67189049773
City_64,-25.784401195153933,-174.76392035956252,1879.950519753002,16.870150888703403,Urban,5148,3926.107959573577,194,20.93549001617916,14.796601471830806,22.538367731213008,52.62132722652542,579.5942546713051,7205.219150400344
City_65,-39.43178825627146,-53.78847882962509,1896.1065102468158,30.56535796284196,Green Space,1355,33910.47179575546,116,19.141888993440855,33.191223742636254,26.90985868093233,44.264944757463915,1695.3646710469181,9747.469674357337
City_66,7.685294968484726,32.370367267667916,3319.120357150012,20.59345634121907,Green Space,3366,29528.229228643326,170,51.28554757803335,48.26513618151999,25.383726315906948,54.67193282585073,2239.3917697032675,25158.476132781314
City_67,-64.63363950454273,-38.79214376409635,1074.4971559573605,26.68874748228676,Urban,682,49520.23578579345,189,24.285378383044517,2.52083868011046,5.484401656176777,43.979786754918585,2281.664296579267,5014.98351286916
City_68,54.395456535727135,-22.50902807145755,497.133509091276,12.388382845866705,Urban,3612,12718.780111329908,75,56.35618909322247,44.519216042763304,28.688756445400838,70.66383778848206,1398.0755207399234,10603.029050386334
City_69,-76.58088413764125,145.49713001774944,1595.7997093834945,25.596483116914325,Water,6170,27006.130409054957,145,58.49632626725954,28.844060065560424,11.300293212883874,78.65097190992743,1418.6073764261475,47244.552728388706
City_70,87.63964858809311,-54.62803187161188,1292.5754624433678,21.294191968430727,Water,4992,32896.90942078556,141,38.56302349685487,28.195978337781185,10.17721983521509,78.80297826666828,653.9383660160347,48847.99339624647
City_71,49.004058473398345,5.036216097531877,1333.3865420519553,24.665211579386852,Urban,6323,32584.967562374837,180,17.15005613328632,25.013926760388017,1.87293981833341,74.60284397501576,1841.5300508860714,19436.707137190675
City_72,-54.23117732384897,102.11508458681152,1051.2348797245947,14.200355193621586,Urban,2017,28503.38360447173,74,28.727412168979065,3.4697042952091692,14.58520962314649,64.03168597358476,2142.518840745691,46241.01502968284
City_73,-89.00601891775156,-37.24459836434275,189.41935336362846,28.421843623604552,Urban,5502,39069.47250603405,174,49.8866131674107,4.493842586808033,3.270408469227861,68.0346278897552,989.3101092094261,27696.409107998155
City_74,56.783057121870144,43.95121208203446,80.43270630036214,31.569926938580714,Urban,1856,11044.079266814004,133,28.369536434853522,30.045600282954304,7.4561946278227795,51.40823210721656,1342.6017632667294,14217.380827814584
City_75,37.234321892571074,130.45093514882825,4444.750753812142,15.418495002269392,Industrial,4129,36555.732813446375,114,14.350860915139437,17.047928571777916,9.508278653018442,65.23081680690483,2177.6786735305404,35417.53733294933
City_76,41.22129024737771,161.82742451675114,1924.9791018113806,12.392863888004044,Urban,4128,31366.99400022137,163,37.8392455464094,45.86340332888403,24.26478970475052,58.2259819775951,2254.2409353245757,33286.188522168
City_77,48.82866240347025,-127.05354686554634,1729.4699122185675,10.59096465115841,Water,8710,44907.6804779341,137,52.25604257480174,20.329526867973613,26.264659511876896,59.2806935910773,986.3599605284519,49467.14063632793
City_78,-76.67196268786374,153.57154505813799,3058.4127721188142,26.04928751108165,Green Space,6632,42512.5275126455,47,49.79631935717512,7.1640729351320545,9.07398952384409,70.31106241500632,1601.1412690827285,13987.31708305488
City_79,-25.47616886203093,-2.8381344913662474,982.1424953927888,25.17735090221952,Industrial,9824,16442.20491749511,123,18.75615700651766,35.7359416751018,25.760943637337217,51.27673422389007,884.9863012716542,33930.915630425035
City_80,-69.14356928547664,-87.03202021237499,4274.825327776014,23.66743531785175,Urban,7088,14535.6289237825,179,43.63823072062333,14.667671072050492,25.71692812109373,52.721584467780794,703.7575282791131,3549.1639964428978
City_81,65.35861665760683,-14.711127754225942,3538.552564869984,15.798677402899386,Green Space,3811,49101.01286876995,62,21.025213171782354,26.27351536779466,22.939528511546207,76.98567164514546,2322.241002783915,6568.655896139251
City_82,22.193662828960427,172.81172710277173,402.3495104051678,19.77264989763787,Industrial,6548,26835.99386484757,187,20.91037672760861,34.8916392752585,4.400853420455446,42.24897179403889,2141.015008464218,1192.0003726035698
City_83,-30.438355526523146,-2.657486162566954,1879.1134910321775,24.861908379654324,Green Space,6746,45414.627231807404,155,53.70358866525926,45.01320556010352,20.70968540702187,59.425371936533615,2020.0698036063477,49973.57337192398
City_84,-78.55949694851574,-61.64942029649704,3956.032384029741,22.419171471479235,Urban,1487,9030.170165243628,189,22.48344763701151,39.6095597400838,28.350721937417063,76.51203201631446,597.5326376262808,40311.41116022641
City_85,-34.0231820911808,48.02430755402128,4251.2941003113465,34.694638005372184,Urban,3821,32498.12682520854,199,23.16236732590056,33.818053393636205,20.476214363014712,64.41452031272628,2187.457585420515,39549.427721943495
City_86,-31.46700203518553,-93.5475772398505,2103.306800624414,13.410993813918328,Water,5115,40683.149180668726,151,10.032669538064978,33.98165911975718,9.948505473235018,61.85628296848528,1376.0881518107676,25976.577689120804
City_87,41.329112100851546,-152.689201880881,2760.3512514481845,27.378613851189844,Urban,8865,47422.36722973589,167,53.53345170627588,47.296232201604326,15.017379522924939,49.98976716917421,1184.7902465917193,15703.287062366557
City_88,24.760344843938356,-133.60330011216627,751.6527574143386,20.107969202607304,Urban,4241,17529.66690983415,144,49.62974066045673,14.791204874826802,19.37175130053161,53.73101956257793,1592.952722050753,8411.949938671121
City_89,69.69829366373878,-133.90349797520193,4460.2588176163945,20.70499037314037,Industrial,3552,36524.07732627857,193,41.3664467545339,0.05560470980937038,15.317112261855106,74.08193663218772,682.7064854471116,14949.062203476718
City_90,-5.0013134708491265,-125.31503033557404,1042.5226562254952,27.939944141454404,Water,7074,27401.837442941334,191,47.51328819694211,13.597727969909934,3.598588251929095,62.368725270738324,2013.2930987047976,19422.589874527817
City_91,-68.4730357311057,-130.02221784621236,4242.292983608066,27.31090378310924,Industrial,1226,3970.817377256941,57,17.60242837122459,10.8945689813372,9.36192133956062,60.589687750271196,1664.8701537765917,38059.19475203441
City_92,38.384061700139114,50.714908129157266,2923.409920465658,34.781399842554706,Green Space,4260,34809.98712813822,40,32.91617972937877,33.09172925569991,24.071880916608976,43.98318854160116,873.180193746335,27443.42765625447
City_93,46.94130875104153,-114.52316961630787,2734.815576954866,13.20985723635313,Urban,6306,34814.73135365433,196,27.560969367439043,31.68557998827645,25.842541382865523,40.64112625820493,876.4643995380911,4796.697701218652
City_94,11.029895562509324,-55.55977800340925,2307.098299574289,12.602741234604158,Green Space,2375,46599.73343748031,76,14.688826312850825,29.67306913523619,4.1190009814671065,78.54740754748197,868.4973031453485,1883.4214389866997
City_95,48.77409239182097,142.84382756616424,1038.014152729914,28.108470428218528,Industrial,7493,25368.30986227965,156,34.3065242607462,0.812172160472685,28.571602571961737,55.07944669147366,614.0047751038679,6014.276797169095
City_96,-1.1167926544096645,-9.373809505365955,794.3761440247872,24.459672925160227,Urban,4533,12282.295114815219,176,56.03698251713177,36.438902722532376,9.86467853545828,64.12852248398018,1675.5968987433696,21114.436971171588
City_97,4.091909288758927,60.32078586756978,992.1879408157891,16.854016663995147,Urban,5943,3183.6273489852783,147,12.002955952534723,16.176520624274577,19.8694121619216,43.1886029274914,2180.696355177016,46726.452935401896
City_98,-13.042616695461064,-117.96484636741326,838.9721796491453,11.985484224724665,Industrial,1489,21366.46714760938,172,24.573045674689695,33.25279945033156,22.554754378700434,67.32457142892187,534.9964279747772,32232.72157925186
City_99,-85.42455718606287,-110.77595322887852,3508.13013105039,12.141456239910763,Industrial,4244,15793.918303797589,155,20.377046810285172,27.828921425107666,24.358387039136502,77.30266834823843,598.0092899425471,40289.46909390024
City_100,-70.57954314120519,-165.28729814406762,1575.5636662502855,32.35477186660296,Industrial,9111,38293.326995169904,185,21.907332683284814,17.13654627139536,28.372491066777904,63.02661011989679,1645.5405533738915,23852.355130722877
City_101,-84.34274657638784,-119.18337729402077,260.29204453528365,14.796683117968573,Industrial,1093,18359.120477211283,181,55.42172759396876,6.7288133552053875,9.387586440864679,45.04461289501642,2138.9913707721043,18721.638076557098
City_102,24.553874027480475,-79.7074779484949,4360.961835633651,18.084289052888018,Industrial,2274,47504.48861942735,101,33.40345271171451,4.720944883024048,25.755193636546636,63.26886109893907,1153.4777811372671,6311.618263114514
City_103,-33.4159234062612,-116.27622566037115,3977.0364823354157,15.6664100556747,Urban,1435,48153.19994640143,136,33.31497064699094,41.57591665561118,3.9506071030862113,70.6538885241861,1199.2287976154444,43920.71808712404
City_104,1.542724409646496,-148.06708784746,4174.885274378458,18.87490764579843,Industrial,4308,31424.520920667695,166,48.02878212276411,45.9198771040779,21.15122719060778,56.25666146296075,1692.6929949935518,39374.84142236724
City_105,73.36196530669673,-136.5710864037837,4477.085201908959,11.735596068652335,Urban,831,46504.35406372926,62,17.72461020024629,32.48940233821498,22.259331885419577,75.19350991765872,1048.4257782482941,9237.786782288531
City_106,-45.12739875320251,-14.11964350821873,782.5286214876928,22.976494772706758,Urban,8422,38281.86288121028,48,34.36326770500254,5.171705743024169,20.331697236039613,65.94731813429458,553.2167321553683,26100.767629936767
City_107,-16.131073853586642,-105.7198613739147,1783.0890850619644,11.690314089805373,Industrial,3202,27796.122407781182,103,31.499260706052986,20.101360844412035,7.5694420840545895,75.9699567315681,1970.457036203192,24881.365588140998
City_108,45.99920493774877,-48.86285002269284,3412.073140668411,30.00891269555904,Industrial,6389,9835.088835716128,197,39.8455345273328,36.446960005257864,26.191294410456102,64.9402124498935,1751.2998258829061,31629.4860816399
City_109,-48.81633021150796,1.2302175077484776,3132.092781242065,15.842802047760825,Water,5554,23471.29923217816,186,59.97788516252193,38.9910442005034,5.06575390111185,45.25151888019297,1661.5119981113182,47363.1578055718
City_110,-76.14361623081726,68.5421383065715,692.5315785293478,23.500297865112763,Urban,4368,28482.84870476826,127,48.47244470410235,5.91093111455443,1.6090437456249251,52.38766844420756,1983.3682579836463,29408.800646361502
City_111,-37.84473847552176,-165.84762965720438,3671.24906245778,32.00197718903645,Industrial,4700,43334.1174560155,170,29.89328515087136,0.0015359422691207936,21.523949718357365,48.07179793009828,1850.461675124075,27470.64607215231
City_112,-60.9801682942792,107.78774360725538,1009.982573264973,26.271934226179855,Industrial,701,24585.335450247578,158,51.377652613702345,35.60685229403025,14.26427145698201,76.3530599086745,911.7639763566423,3465.8237137985334
City_113,77.34557742166317,46.04414021672679,1007.1792667018038,23.323944663783383,Industrial,2997,44986.058961219875,191,18.53541816562401,17.829808799310282,25.47294059876028,70.4160026914993,1204.9620938867024,4082.4663248831725
City_114,55.461668321595056,-150.56674849840613,2416.384903020361,18.10834382788439,Water,2342,34043.099972149976,122,11.523184315448006,12.724066580913012,11.501914231747769,67.05593475640023,752.22028335725,10179.992775012655
City_115,24.012676171876222,134.48830467843982,2668.2297067876643,18.32504782645495,Water,9601,7712.954089629898,77,20.222418623213652,0.644873489476272,5.048357655231385,52.038652785264865,759.7140268357621,2591.0678128956656
City_116,66.86290623378918,151.51406419145275,2610.38793527015,26.737173879954753,Green Space,5158,49754.08709692956,93,27.020577805712982,27.014970338074985,25.093265774096093,47.36179088200854,1852.3914927130784,37424.29188293061
City_117,54.660973841840615,-158.01193445224905,411.69076828989694,34.85348403052919,Urban,8044,26834.400376941718,90,35.529037872977995,42.557536771299084,16.46728894920215,70.25804351955648,2217.2002139649967,36443.184895704195
City_118,-56.41738940051355,-80.32404666700666,3948.5738818367117,26.545979746234465,Green Space,8218,20201.056524044863,186,40.756457027059994,47.881582313629394,5.675873771710647,58.96631783516319,2425.4651677222782,7666.755487150504
City_119,70.660619728196,110.23246072550205,1195.2001916491772,23.944585434250623,Industrial,1270,33296.5744590068,68,55.53028586072109,28.287247530664462,21.611519957593373,49.03158208602517,1756.6942350988888,41967.86613896876
City_120,7.081603544817128,89.37348853811699,582.8171457726188,28.266262755981153,Water,3655,6335.772385070914,157,35.49270047752289,25.72306638699471,15.333409154685016,64.664879126611,868.2026467219139,8584.515707459486
City_121,55.33922792953126,-113.57243303170416,3999.3663594103973,21.630140307092955,Water,2128,32190.393690914363,117,35.06378223128647,4.252819274462055,18.129389467209595,41.61335408553808,711.3006908978614,15757.603762870582
City_122,71.29643398622878,-104.6342435987843,4300.43174203389,11.503558565019631,Green Space,886,25413.564024464376,55,12.512150491149107,27.443640077129988,13.826950146197456,53.04681016513014,2125.7019430735154,13199.868058906884
City_123,-32.7593745050645,-46.630042995102485,3879.5742776945276,24.057420396947744,Water,6531,20927.029429930575,46,11.745577632811191,18.99895394826973,24.86126951454019,58.74227978364539,1657.5129527199986,19243.04783007934
City_124,-70.19065358501818,-5.571725331232329,3642.8223362619515,33.9406321126345,Industrial,6939,47697.98103776606,100,37.557998095818604,30.356764044178846,24.886881470491495,45.91833336437623,1736.5700420274397,13478.524528608132
City_125,-48.9716707424505,42.571717750906544,2948.5889128755975,14.382573558941491,Water,6901,26604.44611987061,42,31.908930662417227,19.436317393827334,21.281664654731586,79.38617910363358,2062.9241775094188,24958.59539548415
City_126,-13.120598047273859,-47.19108975488194,2478.858167741127,27.250122270516645,Green Space,4508,11736.756494026982,98,51.95901974901493,12.014956172518337,3.1620413218938683,48.36389458358457,1906.5544554649032,20962.986186379585
City_127,57.24265786604877,-13.487502192066756,391.44041960134564,15.023342216476411,Industrial,2966,23489.210489487632,55,18.03397923559226,4.748263761418825,25.165615857122067,45.214125201730624,2168.9165057121936,49341.905048187
City_128,64.93150498614182,89.08953772815238,1838.039458818144,23.39569211182703,Green Space,2782,46049.98282406096,78,11.24858310585248,15.745922229444787,20.130389415987295,48.14139495547586,612.4278109197569,3740.3911562830576
City_129,-88.74861650438568,-166.79404695938476,1677.098326555413,12.416911241167991,Water,2356,9628.678095199139,36,32.45193839650629,4.832241714387614,20.910724980128986,70.76244532638897,1995.0412734930096,7966.887442980229
City_130,1.9345144639618326,-89.12270003615252,1168.892026921468,21.25927340645463,Green Space,8480,11483.894895723608,87,21.873927837612875,8.844847541199197,10.88948521211615,57.020226370873715,2201.7055146441908,3588.4688015215215
City_131,-14.866019433219776,76.80585091843886,3255.390511598632,28.904083222381153,Green Space,2498,1638.4488200971036,78,12.480718666941872,49.366807928977295,26.3783866847102,62.61663759010152,1072.2700849166285,31666.218554136412
City_132,-50.02059411526856,142.27446156739177,2231.440807854469,18.68928810597455,Urban,5976,1695.3124203925918,132,46.22991434238145,22.20517784533093,21.761148007045723,40.84036627945443,1780.8945479865058,3670.9545932722594
